,data_key,method,ndcg10,param,viewpoint
213,bike,blade_chest_3_x,0.7751894154936599,0.1,*viewpoint96
214,bike,blade_chest_3_x,0.7666319786495441,0.1,*viewpoint97
215,bike,blade_chest_3_x,0.906105201740078,0.1,*viewpoint99
216,bike,blade_chest_2_y,0.7101592444920093,0.001,*viewpoint00
217,bike,blade_chest_2_y,0.6963021460187313,0.001,*viewpoint01
218,bike,blade_chest_2_y,0.7779303592384857,0.001,*viewpoint05
219,bike,blade_chest_2_y,0.8888875403158157,0.001,*viewpoint07
220,bike,blade_chest_2_y,0.6053431867993092,0.001,*viewpoint08
221,bike,blade_chest_2_y,0.6803519297064518,0.001,*viewpoint10
222,bike,blade_chest_2_y,0.4819982793777697,0.001,*viewpoint11
223,bike,blade_chest_2_y,0.7196080094427066,0.001,*viewpoint21
224,bike,blade_chest_2_y,0.591181297911256,0.001,*viewpoint26
225,bike,blade_chest_2_y,0.8889772444916607,0.001,*viewpoint29
226,bike,blade_chest_2_y,0.5719061873329955,0.001,*viewpoint43
227,bike,blade_chest_2_y,0.6108164749232459,0.001,*viewpoint44
228,bike,blade_chest_2_y,0.6835155826127839,0.001,*viewpoint49
229,bike,blade_chest_2_y,0.6328854756180269,0.001,*viewpoint50
230,bike,blade_chest_2_y,0.8230507391590531,0.001,*viewpoint54
231,bike,blade_chest_2_y,0.7396599139781348,0.001,*viewpoint57
232,bike,blade_chest_2_y,0.6717939130783313,0.001,*viewpoint75
233,bike,blade_chest_2_y,0.7673969882402193,0.001,*viewpoint79
234,bike,blade_chest_2_y,0.8038141335059509,0.001,*viewpoint80
235,bike,blade_chest_2_y,0.7335401474719029,0.001,*viewpoint83
236,bike,blade_chest_2_y,0.4194871198031125,0.001,*viewpoint84
237,bike,blade_chest_2_y,0.7039604940286813,0.001,*viewpoint85
238,bike,blade_chest_2_y,0.8277460529795251,0.001,*viewpoint91
239,bike,blade_chest_2_y,0.4414974826892752,0.001,*viewpoint93
240,bike,blade_chest_2_y,0.6622270672543118,0.001,*viewpoint96
241,bike,blade_chest_2_y,0.6777336620064044,0.001,*viewpoint97
242,bike,blade_chest_2_y,0.8350247351258101,0.001,*viewpoint99
243,bike,blade_chest_2_y,0.7429283807478306,0.01,*viewpoint00
244,bike,blade_chest_2_y,0.6650098026620275,0.01,*viewpoint01
245,bike,blade_chest_2_y,0.8749916089107037,0.01,*viewpoint05
246,bike,blade_chest_2_y,0.869667642468946,0.01,*viewpoint07
247,bike,blade_chest_2_y,0.7116569570111172,0.01,*viewpoint08
248,bike,blade_chest_2_y,0.792296719321557,0.01,*viewpoint10
249,bike,blade_chest_2_y,0.5399428922989715,0.01,*viewpoint11
250,bike,blade_chest_2_y,0.7949549671266367,0.01,*viewpoint21
251,bike,blade_chest_2_y,0.5995735718631995,0.01,*viewpoint26
252,bike,blade_chest_2_y,0.8217666018552678,0.01,*viewpoint29
253,bike,blade_chest_2_y,0.6892172388357931,0.01,*viewpoint43
254,bike,blade_chest_2_y,0.7393582179824325,0.01,*viewpoint44
255,bike,blade_chest_2_y,0.7635813077219733,0.01,*viewpoint49
256,bike,blade_chest_2_y,0.7096463393559922,0.01,*viewpoint50
257,bike,blade_chest_2_y,0.8329371976990008,0.01,*viewpoint54
258,bike,blade_chest_2_y,0.8548277580707534,0.01,*viewpoint57
259,bike,blade_chest_2_y,0.7245038732156055,0.01,*viewpoint75
260,bike,blade_chest_2_y,0.839165448193726,0.01,*viewpoint79
261,bike,blade_chest_2_y,0.7941520291026744,0.01,*viewpoint80
262,bike,blade_chest_2_y,0.7319581718833341,0.01,*viewpoint83
263,bike,blade_chest_2_y,0.423851400137741,0.01,*viewpoint84
264,bike,blade_chest_2_y,0.8183118387041071,0.01,*viewpoint85
265,bike,blade_chest_2_y,0.8803740764990254,0.01,*viewpoint91
266,bike,blade_chest_2_y,0.5711734795735874,0.01,*viewpoint93
267,bike,blade_chest_2_y,0.7981508955811871,0.01,*viewpoint96
268,bike,blade_chest_2_y,0.7763782667593263,0.01,*viewpoint97
269,bike,blade_chest_2_y,0.8715405484503008,0.01,*viewpoint99
270,bike,blade_chest_2_y,0.7709748893021492,0.1,*viewpoint00
271,bike,blade_chest_2_y,0.7003880877350566,0.1,*viewpoint01
